MaterialName,Category,AdditionalNotes,Quantity,NVL,BEN,PercentComplete,Fixture,AssetNumber,BEN4LPR,CurrentState,IndividuallyAssigned,LamPartNumber,LaptopAssignedBEDShift,LaptopAssignedBENShift,LaptopAssignedFEDShift,LaptopAssignedFENShift,LaptopAssignedMF,LaptopDepartment,RecordIDNumber,SerialNumber
#11,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,173,
#110,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1383,
#111,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1384,
#112,Facilities Kit/Cage,,0,,2228331B,16A,0,,2228331B,Unavailable to Loan,0,,,,,,,,1385,
#113,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1386,
#114,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1387,
#115,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1388,
#116,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1504,
#117,Facilities Kit/Cage,,0,,2188611A,76T,0,,2188611A,Unavailable to Loan,0,,,,,,,,1505,
#118,Facilities Kit/Cage,,0,,2092111D,21T,0,,2092111D,Unavailable to Loan,0,,,,,,,,1506,
#119,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1507,
#12,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,174,
#120,Facilities Kit/Cage,,0,,2255581A,53T,0,,2255581A,Unavailable to Loan,0,,,,,,,,1508,
#121,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,1509,
#122,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1510,
#123,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1511,
#124,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,1512,
#125,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1513,
#126,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1514,
#13,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,175,
#14,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,176,
#15,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,177,
#16,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,178,
#17,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,179,
#18,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,180,
#19,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,181,
#20,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,182,
#21,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,183,
#22,Facilities Kit/Cage,,0,,2092111A,94T,0,,2092111A,Unavailable to Loan,0,,,,,,,,184,
#23,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,185,
#24,Facilities Kit/Cage,,0,,2194071C,84T,0,,2194071C,Unavailable to Loan,0,,,,,,,,186,
#25,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1621,
#26,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,188,
#27,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,189,
#28,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,190,
#29,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,191,
#30,Facilities Kit/Cage,,0,,2230911B,72A,0,,2230911B,Unavailable to Loan,0,,,,,,,,192,
#31,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,193,
#32,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,194,
#33,Facilities Kit/Cage,,0,,2212571C,0T,0,,2212571C,Unavailable to Loan,0,,,,,,,,195,
#34,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,196,
#35,Facilities Kit/Cage,,0,,2182461B,80A,0,,2182461B,Unavailable to Loan,0,,,,,,,,197,
#36,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,198,
#37,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,199,
#38,Facilities Kit/Cage,,0,,2194071D,12A,0,,2194071D,Unavailable to Loan,0,,,,,,,,200,
#39,Facilities Kit/Cage,,0,,2228331A,79A,0,,2228331A,Unavailable to Loan,0,,,,,,,,201,
#40,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,202,
#41,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,203,
#42,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,204,
#43,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,205,
#44,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,206,
#45,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,207,
#46,Facilities Kit/Cage,,0,,2247021A,32A,0,,2247021A,Unavailable to Loan,0,,,,,,,,208,
#47,Facilities Kit/Cage,,0,,2220781A,75A,0,,2220781A,Unavailable to Loan,0,,,,,,,,209,
#48,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,210,
#49,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,211,
#50,Facilities Kit/Cage,,0,,2165781A,0A,0,,2165781A,Unavailable to Loan,0,,,,,,,,212,
#51,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,213,
#52,Facilities Kit/Cage,,0,,2230121R,55A,0,,2230121R,Unavailable to Loan,0,,,,,,,,214,
#53,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,215,
#54,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,216,
#55,Facilities Kit/Cage,,0,,2197811A,74T,0,,2197811A,Unavailable to Loan,0,,,,,,,,217,
#56,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,218,
#57,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,219,
#58,Facilities Kit/Cage,Holds Mach4 facilites kit. This should be treated like a cage and not broken down. Lives  Row 2  Section J.,1,,,,0,,,Available to Loan,0,,,,,,,,220,
#59,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,221,
#60,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,222,
#61,Facilities Kit/Cage,,0,,2135231A,79T,0,,2135231A,Unavailable to Loan,0,,,,,,,,223,
#62,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,224,
#63,Facilities Kit/Cage,,0,,2275931A,92A,0,,2275931A,Unavailable to Loan,0,,,,,,,,225,
#64,Facilities Kit/Cage,,0,,2275931A,92A,0,,2275931A,Unavailable to Loan,0,,,,,,,,226,
#65,Facilities Kit/Cage,,0,,2262871A,62A,0,,2262871A,Unavailable to Loan,0,,,,,,,,227,
#66,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,228,
#67,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,229,
#68,Facilities Kit/Cage,,0,,2208691C,91A,0,,2208691C,Unavailable to Loan,0,,,,,,,,230,
#69,Facilities Kit/Cage,,0,,2247021A,32A,0,,2247021A,Unavailable to Loan,0,,,,,,,,231,
#70,Facilities Kit/Cage,"Was handed off to Max Wagner after the Altus left, next one coming soon.",0,,,,0,,,Unavailable to Loan,0,,,,,,,,232,
#71,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,233,
#72,Facilities Kit/Cage,,0,,2228331B,16A,0,,2228331B,Unavailable to Loan,0,,,,,,,,234,
#73,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,235,
#74,Facilities Kit/Cage,,,,2275921B,04A,0,,2275921B,Unavailable to Loan,0,,,,,,,,236,
#75,Facilities Kit/Cage,,0,,,,0,,,Available to Loan,0,,,,,,,,237,
#76,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,238,
#77,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,239,
#78,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,240,
#79,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,241,
#80,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,242,
#81,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,243,
#82,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,244,
#83,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,245,
#84,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,246,
#85,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,247,
#86,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,248,
#87,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,249,
#88,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,250,
#89,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,251,
#90,Facilities Kit/Cage,,0,,2230911B,72A,0,,2230911B,Unavailable to Loan,0,,,,,,,,252,
#91,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1265,
#92,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1266,
#93,Facilities Kit/Cage,,0,,2032411R,20A,0,,2032411R,Unavailable to Loan,0,,,,,,,,1267,
#94,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1268,
#95,Facilities Kit/Cage,,0,,2182461E,55A,0,,2182461E,Unavailable to Loan,0,,,,,,,,1269,
#96,Facilities Kit/Cage,,0,,2182461A,81A,0,,2182461A,Unavailable to Loan,0,,,,,,,,1311,
#97,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1312,
#98,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1313,
#99,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1314,
01D,SWIC-Supported GIS Laptop,"T460
",1,,,,0,A205855,,Cleanroom Item,0,,,,Said Bahreman <60506097.b64i>,,,Final Test,608,PC0JWCM2
01N,SWIC-Supported GIS Laptop,T460,1,,,,0,A204993,,Cleanroom Item,0,,,Matthew Mglej <62152625.cgpq>,,Eric Cooke <63239311.dk9i>,,Final Test,561,
02D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205851,,Cleanroom Item,0,,Gary Fontenot <62432355.dy7a>,,Angel Rosario Perez <59170941.b595>,,,Final Test,604,
02N,SWIC-Supported GIS Laptop,T470,1,,,,0,A301153,,Cleanroom Item,0,,,William Dang <61834138.c4d9>,,Steven Rife <63213911.dqkg>,,Final Test,641,
03-032163-00,Other (Please describe),"Cable Assy, 50P, Breakout",0,,,,0,,,Unavailable to Loan,0,,,,,,,,2133,
03-0356561-00,Other (Please describe),D78/A4P4,12,,,,0,,,Available to Loan,0,,,,,,,,2052,
03-113583-00,Other (Please describe),"D-15 (1/8, 4/11)",3,,,,0,,,Available to Loan,0,,,,,,,,2027,
03-149767-00,Other (Please describe),D-9 (4/5),1,,,,0,,,Available to Loan,0,03-149767-00,,,,,,,1987,
03-149767-01,Other (Please describe),"CABLE ASSY,ILDS BULK CAB JMPR",0,,,,0,,,Unavailable to Loan,0,,,,,,,,2065,
03-149782-00,Other (Please describe),TC Jumper,24,,,,0,,,Available to Loan,0,,,,,,,,2122,
03-281066-00,Cables (Provide part number),Interlink RPC Cable,4,,,,0,,,Available to Loan,0,,,,,,,,2167,
03-307414-00,Other (Please describe),"D-25 (1/14, 2/10, 11/24, 12/25, 6/19",7,,,,0,,,Available to Loan,0,,,,,,,,2038,
03-313783-00,Other (Please describe),Smart Motor Cabke,1,,,,0,,,Available to Loan,0,,,,,,,,2224,
03-32159-00,Cables- Breakout,9 pin break out cable,5,,,,0,,,Available to Loan,0,03-32159-00,,,,,,,1073,
03-32160-00,Cables- Breakout,15 Pin Breakout Cable,2,,,,0,,,Available to Loan,0,03-32160-00,,,,,,,293,
03-321764-00,Other (Please describe),"Smart Motor Cable Assy, Power, RS232, Smart Motor",5,,,,0,,,Available to Loan,0,,,,,,,,2145,
03-345546-00,Other (Please describe),J Reg Rem,4,,,,0,,,Available to Loan,0,,,,,,,,2170,
03-346165-00,Other (Please describe),VXL AMPDS,2,,,,0,,,Available to Loan,0,,,,,,,,2174,
03-346869-00,Other (Please describe),D50 RF Switch Jumper/EIOC1/VXT,11,,,,0,,,Available to Loan,0,,,,,,,,2093,
03-361128-00,Other (Please describe),D78/A4P2,10,,,,0,,,Available to Loan,0,,,,,,,,2041,
03-362105-00,Other (Please describe),D78/A3P20,8,,,,0,,,Available to Loan,0,,,,,,,,2045,
03-367030-00,Other (Please describe),"D-9 (4/8, 5/9)",3,,,,0,,,Available to Loan,0,03-367030-00,,,,,,,1989,
03-376254-00,Other (Please describe),D-9 (1/6&7),7,,,,0,,,Available to Loan,0,03-376254-00,,,,,,,1993,
03-376370-00,Other (Please describe),D78/A4P2,9,,,,0,,,Available to Loan,0,,,,,,,,2044,
03-376371-00,Other (Please describe),D78/A4P4,6,,,,0,,,Available to Loan,0,,,,,,,,2042,
03-378886-00,Other (Please describe),"Cable Assy, SSR Box, Heater Control",1,,,,0,,,Available to Loan,0,,,,,,,,2171,
03-378952-001,Other (Please describe),D-78 TEOSXT,10,,,,0,,,Available to Loan,0,03-378952-001,,,,,,,1968,
03-401474-00,Other (Please describe),D78/A4P2,6,,,,0,,,Available to Loan,0,,,,,,,,2049,
03-401475-00,Other (Please describe),D78 AHM/AHM - XT,15,,,,0,,,Available to Loan,0,03-401475-00,,,,,,,1978,
03-407433-00,Other (Please describe),Molex Jumper,102,,,,0,,,Available to Loan,0,,,,,,,,2126,
03-421627-00,Other (Please describe),TC Jumper,56,,,,0,,,Available to Loan,0,,,,,,,,2120,
03-421628-00,Other (Please describe),TC Jumper,20,,,,0,,,Available to Loan,0,,,,,,,,2121,
03-425108-00,Other (Please describe),"D-9 (1/6, 2/7)",16,,,,0,,,Available to Loan,0,03-425108-00,,,,,,,1995,
03-432896-00,Other (Please describe),"Cable Assy, Upper LBP Hoist Motor",2,,,,0,,,Available to Loan,0,,,,,,,,2154,
03-434967-00,Other (Please describe),D78,3,,,,0,,,Available to Loan,0,,,,,,,,2043,
03-447410-00,Other (Please describe),3 Pronged TC Jumper,17,,,,0,,,Available to Loan,0,,,,,,,,2118,
03-447873-00,Other (Please describe),J4 EMO Jumper,7,,,,0,,,Available to Loan,0,,,,,,,,2097,
03-451678-00,Other (Please describe),EMO Jumper (1/2),5,,,,0,,,Available to Loan,0,,,,,,,,2098,
03-455212-00,Cables (Provide part number),Pneumatic Bank Loaner Cable,7,,,,0,,,Available to Loan,0,,,,,,,,2169,
03-465343-00,Other (Please describe),EMO Jumper (1/3),3,,,,0,,,Available to Loan,0,,,,,,,,2100,
03-465813-00,Other (Please describe),D78/A4P2,10,,,,0,,,Available to Loan,0,,,,,,,,2048,
03D,SWIC-Supported GIS Laptop,T460,1,,,,0,A3000000,,Cleanroom Item,0,,Ahmed Mahdi <62435357.d2kh>,,Drew Farley <62421122.dhsr>,,,Final Test,623,PC0LFZN0
03N,SWIC-Supported GIS Laptop,T440,1,,,,0,A202268,,Available to Loan,0,,,,,,,Final Test,523,
04-318505-00,Other (Please describe),Carrier Ring- Final Test,3,,,,0,,,Available to Loan,0,,,,,,,,1734,
04D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205852,,Cleanroom Item,0,,,,Aleksey Milekhin <60342175.d9ed>,,,Final Test,605,PC0JWCVZ
04N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205846,,Cleanroom Item,0,,,,,Travis Schuster <62465520.cf5n>,,Final Test,412,PC0JWCL2
05D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205847,,Cleanroom Item,0,,Austin Grieve <62380995.bn2d>,,Farhad Sharifi <59833452.bhsb>,,,Final Test,413,PC0JWCTM
05N,SWIC-Supported GIS Laptop,T460 ,1,,,,0,A205850,,Cleanroom Item,0,,,,,Justin Kroff <62423416.dwxd>,,Final Test,603,
06D,SWIC-Supported GIS Laptop,"T460
",1,,,,0,A205840,,Cleanroom Item,0,,David Matecki <62454552.e4s2>,,Ahmed Alsharif <62379017.dc5g>,,,Final Test,411,PC0JWCTF
06N,SWIC-Supported GIS Laptop,T460,1,,,,0,A206835,,Cleanroom Item,0,,,Caleb Kini Kini <62263566.bzzh>,,Mychal Lulich <62001089.d5zi>,,Final Test,1229,PC0LFZPE
07D,SWIC-Supported GIS Laptop,T460,0,,,,0,A3000005,,Missing/Lost,0,,Daniel Miller <60349236.depf>,,,,,Final Test,624,
07N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205848,,Cleanroom Item,0,,,,,Calvin Xaybanha <62465591.dnia>,,Final Test,414,
08D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205843,,Cleanroom Item,0,,Ali Al Badri <60579284.cbds>,,Billy Birdwell <62696245.d335>,,,Final Test,602,PC0JWCTX
08N,SWIC-Supported GIS Laptop,T460,1,,,,0,A3000049,,Cleanroom Item,0,,,Jason Mishler <59870620.c8ns>,,Bori Chet <59870554.dw64>,,Final Test,630,
09D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205480,,Cleanroom Item,0,,Marko Mmuhongelwa <62365383.6rnd>,,Layal Abdeljawad <62379016.54nd>,,,Final Test,970,pc0jg2r6
09N,SWIC-Supported GIS Laptop,T460,1,,,,0,A206466,,Cleanroom Item,0,,,Ajani Scott <60555261.rnft>,,Jacob Alger <62858325.djxv>,,Final Test,1251,
"1"" Tube OD x 1"" MNPT",Other (Please describe),"1"" Tube OD x 1"" MNPT",0,,,,0,,,Unavailable to Loan,0,20-120627-00,,,,,,,1773,
"1"" Tube to 1"" MNPT",Other (Please describe),,6,,,,0,,,Available to Loan,0,20-120627-00,,,,,,,1781,
"1/2"" Lug MISC",Cables (Provide part number),,108,,,,0,,,Unavailable to Loan,0,,,,,,,,1709,
"1/4"" Universal Lug",Cables (Provide part number),,21,,,,0,,,Unavailable to Loan,0,,,,,,,,1702,
"1/8"" Male to 1/4"" Female AR Gas Adapter",Other (Please describe),,2,,,,0,,,Available to Loan,0,,,,,,,,2115,
10-150 in/lb Torque Wrench,Tools- Torque Wrench,,1,,L01,,0,,L01,Cleanroom Item,0,,,,,,,,1124,
100 Amp Male Hubble,Other (Please describe),,11,,,,0,,,Available to Loan,0,,,,,,,,1931,
10D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205253,,Cleanroom Item,0,,,,,,,Final Test,958,pc0h92wm
10N,SWIC-Supported GIS Laptop,"T460
",1,,,,0,A205836,,Cleanroom Item,0,,,Jeffrey Mikolay <60588525.cp33>,,Ruben Aguirre <63413688.btt9>,,Final Test,596,
11D,SWIC-Supported GIS Laptop,T460,1,,,,0,A3000100,,Cleanroom Item,0,,,,Sean Wilcox <60343814.jnwe>,,,Final Test,635,
11N,SWIC-Supported GIS Laptop,"T460
3/10/2020  Mouse/kb does not work on workstations.",0,,,,0,A205845,,Missing/Lost,0,,,,,,,Final Test,806,
12D,SWIC-Supported GIS Laptop,T450 - ,1,,,,0,A204209,,Cleanroom Item,0,,Mike Jouklaris <62416950.vvjf>,,,,,Final Test,534,
12N,SWIC-Supported GIS Laptop,T460,1,,,,0,A205842,,Cleanroom Item,0,,,Phillip Anson <62552833.tuir>,,,,Final Test,601,
132738,Other (Please describe),Female J26 BD Door Motion Interlock,6,,,,0,,,Available to Loan,0,,,,,,,,2068,
13AC4710,Cables (Provide part number),16AWG Ferrule,202,,,,0,,,Unavailable to Loan,0,MFG# 13AC4710,,,,,,,1719,
13D,SWIC-Supported GIS Laptop,T460,1,,,,0,A205857,,Cleanroom Item,0,,Juan Rivera Mena <62719636.dxhm>,,Mark Shields <60341810.f8up>,,,Final Test,610,
13N,SWIC-Supported GIS Laptop,T470 - Missing/Sticking keys,1,,,,0,A301139,,Cleanroom Item,0,,,Heriberto Adame <60342018.bnme>,,,,Final Test,639,
14D,SWIC-Supported GIS Laptop,T460,1,,,,0,A204917,,Cleanroom Item,0,,Wyatt Pausz <62454555.di52>,,Thomas Courcy <62831427.qerc>,,,Final Test,978,pc0fe5uw
14N,SWIC-Supported GIS Laptop,T470,1,,,,0,A301311,,Cleanroom Item,0,,,Vicente Valdovinos Tapia <60580615.dbzr>,,Joseph Chavez <60358151.xpw3>,,Final Test,418,pc0jwclc
15-105084-00,Other (Please describe),"Shim, 2 x 2 x 0.05, 5/8"" Slot W 300SST",56,,,,0,,,Available to Loan,0,,,,,,,,2214,
15-122178-00,Other (Please describe),Carrier Ring- Final Test,13,,,,0,,,Available to Loan,0,,,,,,,,1733,
15-127149-00,Other (Please describe),"Grapple, Pedestal, Lifting TL, SEQ",4,,,,0,,,Available to Loan,0,,,,,,,,2220,
15-270244-00,Other (Please describe),Carrier Ring- Final Test,2,,,,0,,,Available to Loan,0,,,,,,,,1735,
15-310696-00,Other (Please describe),EMO Bracket,4,,,,0,,,Available to Loan,0,,,,,,,,2139,
15-31164-000,Other (Please describe),Carrier Ring- Final Test,3,,,,0,,,Available to Loan,0,,,,,,,,1731,
15-344259-00,Other (Please describe),Carrier Ring- Final Test,5,,,,0,,,Available to Loan,0,,,,,,,,1732,
15-374186-00,Other (Please describe),Carrier Ring- Final Test,1,,,,0,,,Available to Loan,0,,,,,,,,1736,
15D,SWIC-Supported GIS Laptop,T460,0,,,,0,A204528,,Missing/Lost,0,,,,,,,Final Test,1000,PC0FE5UV
15N,SWIC-Supported GIS Laptop,T440,1,,,,0,A202523,,Cleanroom Item,0,,,Bill Cooper <60343480.b7rc>,,,,Final Test,528,
16555,Other (Please describe),Leak Check Gun,8,,,,0,,,Available to Loan,0,,,,,,,,2189,
16AWG 2 Wire Ferrule,Cables (Provide part number),,0,,,,0,,,Unavailable to Loan,0,,,,,,,,1712,
16N,SWIC-Supported GIS Laptop,T460 A couple of keys missing,1,,,,0,A205864,,Cleanroom Item,0,,,,,Lanh Nguyen <59870624.btsv>,,Final Test,614,PC0JWCL0
17M8283,Cables (Provide part number),10AWG Ferrule,6,,,,0,,,Unavailable to Loan,0,MFG# 17M8283,,,,,,,1711,
17N,SWIC-Supported GIS Laptop,T440,1,,,,0,A202533,,Cleanroom Item,0,,,,,,,Final Test,530,
185794-001,Other (Please describe),"7/16"" Male to 7/16"" Female Adapter",19,,,,0,,,Available to Loan,0,,,,,,,,2177,
18D,SWIC-Supported GIS Laptop,T450,1,,,,0,A204437,,Cleanroom Item,0,,Loc Luu <60555912.c3jb>,,Axle Anderton <62374635.bg8f>,,,Final Test,544,
18N,SWIC-Supported GIS Laptop,T470,1,,,,0,A301313,,Cleanroom Item,0,,,Chris Williams <62978692.bhpk>,,Zong Her <59828630.mrz5>,,Final Test,656,
19-034772-00,Other (Please describe),"1/4"" DB M Bulkhead",2,,,,0,,,Available to Loan,0,19-034772-00,,,,,,,1904,
19D,SWIC-Supported GIS Laptop,T440 - In GIS for cert 1-24-2022,0,,,,0,A202244,,In GIS for Repair,0,,,,,,,Final Test,515,
19N,SWIC-Supported GIS Laptop,"T470
FEN - Mike Motti",1,,,,0,A301310,,Cleanroom Item,0,,,Alex Hurley <63043406.bz27>,,,,Final Test,654,
1LRH4,Other (Please describe),"MFG#  Reducing Union 1/4"" to 1/8""",14,,,,0,,,Available to Loan,0,,,,,,,,2053,
20 AMP UPS Plug,Cables (Provide part number),,18,,,,0,,,Unavailable to Loan,0,,,,,,,,1722,
20-0024-01,Other (Please describe),"1/4"" Male to Male Bulkhead",80,,,,0,,,Available to Loan,0,20-0024-01,,,,,,,1895,
20-0105,Other (Please describe),"FTG, Connector, Male, 50in x 75in",10,,,,0,,,Available to Loan,0,20-0105,,,,,,,1792,
20-0132,Other (Please describe),"3/4"" Male Tee",21,,,,0,,,Available to Loan,0,20-0132,,,,,,,1877,
20-120627-00,Other (Please describe),"1"" Tube, Elbow x 1"" Male NPT",23,,,,0,,,Available to Loan,0,20-120627-00,,,,,,,1878,
20-120629-00,Other (Please describe),"Male Connector 1"" x 1"" Male Pipe",20,,,,0,,,Available to Loan,0,20-120629-00,,,,,,,1907,
